group,function,value,sample_time_nanos,iteration_count
async-local,unbounded 3,10,715948.0,9
async-local,unbounded 3,10,5012647.0,18
async-local,unbounded 3,10,1728390.0,27
async-local,unbounded 3,10,5614793.0,36
async-local,unbounded 3,10,2810802.0,45
async-local,unbounded 3,10,13390483.0,54
async-local,unbounded 3,10,4113526.0,63
async-local,unbounded 3,10,6652331.0,72
async-local,unbounded 3,10,7306944.0,81
async-local,unbounded 3,10,8553353.0,90
async-local,unbounded 3,10,12793056.0,99
async-local,unbounded 3,10,10872357.0,108
async-local,unbounded 3,10,10580312.0,117
async-local,unbounded 3,10,31176389.0,126
async-local,unbounded 3,10,14277420.0,135
async-local,unbounded 3,10,11905237.0,144
async-local,unbounded 3,10,26008812.0,153
async-local,unbounded 3,10,17640705.0,162
async-local,unbounded 3,10,23638082.0,171
async-local,unbounded 3,10,14603670.0,180
async-local,unbounded 3,10,22843697.0,189
async-local,unbounded 3,10,40510951.0,198
async-local,unbounded 3,10,23932843.0,207
async-local,unbounded 3,10,19967803.0,216
async-local,unbounded 3,10,29147228.0,225
async-local,unbounded 3,10,34675207.0,234
async-local,unbounded 3,10,23523769.0,243
async-local,unbounded 3,10,31712900.0,252
async-local,unbounded 3,10,17479282.0,261
async-local,unbounded 3,10,35543008.0,270
async-local,unbounded 3,10,31819250.0,279
async-local,unbounded 3,10,30699627.0,288
async-local,unbounded 3,10,25240035.0,297
async-local,unbounded 3,10,35685144.0,306
async-local,unbounded 3,10,40143545.0,315
async-local,unbounded 3,10,32937690.0,324
async-local,unbounded 3,10,37146104.0,333
async-local,unbounded 3,10,35972602.0,342
async-local,unbounded 3,10,35849721.0,351
async-local,unbounded 3,10,43113205.0,360
async-local,unbounded 3,10,36311584.0,369
async-local,unbounded 3,10,38313886.0,378
async-local,unbounded 3,10,49489639.0,387
async-local,unbounded 3,10,24263010.0,396
async-local,unbounded 3,10,63748265.0,405
async-local,unbounded 3,10,36296716.0,414
async-local,unbounded 3,10,51263565.0,423
async-local,unbounded 3,10,46136334.0,432
async-local,unbounded 3,10,59831695.0,441
async-local,unbounded 3,10,61860346.0,450
async-local,unbounded 3,10,55279499.0,459
async-local,unbounded 3,10,53487982.0,468
async-local,unbounded 3,10,44806628.0,477
async-local,unbounded 3,10,49159553.0,486
async-local,unbounded 3,10,38847443.0,495
async-local,unbounded 3,10,48035813.0,504
async-local,unbounded 3,10,56835347.0,513
async-local,unbounded 3,10,73385754.0,522
async-local,unbounded 3,10,65414739.0,531
async-local,unbounded 3,10,77124010.0,540
async-local,unbounded 3,10,73274876.0,549
async-local,unbounded 3,10,67020460.0,558
async-local,unbounded 3,10,53300812.0,567
async-local,unbounded 3,10,60588360.0,576
async-local,unbounded 3,10,75014377.0,585
async-local,unbounded 3,10,83263482.0,594
async-local,unbounded 3,10,80775102.0,603
async-local,unbounded 3,10,76894822.0,612
async-local,unbounded 3,10,102475492.0,621
async-local,unbounded 3,10,92003184.0,630
async-local,unbounded 3,10,73171653.0,639
async-local,unbounded 3,10,77753806.0,648
async-local,unbounded 3,10,87955560.0,657
async-local,unbounded 3,10,107626528.0,666
async-local,unbounded 3,10,68690379.0,675
async-local,unbounded 3,10,103175761.0,684
async-local,unbounded 3,10,54264523.0,693
async-local,unbounded 3,10,94257396.0,702
async-local,unbounded 3,10,94370617.0,711
async-local,unbounded 3,10,74426599.0,720
async-local,unbounded 3,10,86725151.0,729
async-local,unbounded 3,10,75384368.0,738
async-local,unbounded 3,10,99370330.0,747
async-local,unbounded 3,10,99944202.0,756
async-local,unbounded 3,10,87918049.0,765
async-local,unbounded 3,10,68284962.0,774
async-local,unbounded 3,10,111642183.0,783
async-local,unbounded 3,10,104930951.0,792
async-local,unbounded 3,10,95114587.0,801
async-local,unbounded 3,10,114892706.0,810
async-local,unbounded 3,10,101105783.0,819
async-local,unbounded 3,10,77760558.0,828
async-local,unbounded 3,10,76518678.0,837
async-local,unbounded 3,10,114929224.0,846
async-local,unbounded 3,10,92159185.0,855
async-local,unbounded 3,10,72960609.0,864
async-local,unbounded 3,10,111780992.0,873
async-local,unbounded 3,10,87192453.0,882
async-local,unbounded 3,10,123848031.0,891
async-local,unbounded 3,10,115634953.0,900
