group,function,value,sample_time_nanos,iteration_count
async-std,bounded 1,10,1425917.0,40
async-std,bounded 1,10,3286757.0,80
async-std,bounded 1,10,2527788.0,120
async-std,bounded 1,10,4052560.0,160
async-std,bounded 1,10,6214633.0,200
async-std,bounded 1,10,6881812.0,240
async-std,bounded 1,10,7377780.0,280
async-std,bounded 1,10,9230175.0,320
async-std,bounded 1,10,9680577.0,360
async-std,bounded 1,10,11127022.0,400
async-std,bounded 1,10,10906069.0,440
async-std,bounded 1,10,9551045.0,480
async-std,bounded 1,10,10673844.0,520
async-std,bounded 1,10,13393662.0,560
async-std,bounded 1,10,14386299.0,600
async-std,bounded 1,10,16183911.0,640
async-std,bounded 1,10,18236390.0,680
async-std,bounded 1,10,17468153.0,720
async-std,bounded 1,10,16896634.0,760
async-std,bounded 1,10,18529528.0,800
async-std,bounded 1,10,22962028.0,840
async-std,bounded 1,10,26183745.0,880
async-std,bounded 1,10,24552644.0,920
async-std,bounded 1,10,22242342.0,960
async-std,bounded 1,10,24116529.0,1000
async-std,bounded 1,10,22075410.0,1040
async-std,bounded 1,10,25870267.0,1080
async-std,bounded 1,10,23233868.0,1120
async-std,bounded 1,10,25143589.0,1160
async-std,bounded 1,10,31442461.0,1200
async-std,bounded 1,10,34668996.0,1240
async-std,bounded 1,10,35532150.0,1280
async-std,bounded 1,10,32155695.0,1320
async-std,bounded 1,10,27572482.0,1360
async-std,bounded 1,10,39937139.0,1400
async-std,bounded 1,10,40321959.0,1440
async-std,bounded 1,10,39836571.0,1480
async-std,bounded 1,10,36014373.0,1520
async-std,bounded 1,10,42528907.0,1560
async-std,bounded 1,10,40650995.0,1600
async-std,bounded 1,10,46309679.0,1640
async-std,bounded 1,10,46699699.0,1680
async-std,bounded 1,10,47680523.0,1720
async-std,bounded 1,10,51159800.0,1760
async-std,bounded 1,10,51565469.0,1800
async-std,bounded 1,10,55372640.0,1840
async-std,bounded 1,10,41527374.0,1880
async-std,bounded 1,10,44165839.0,1920
async-std,bounded 1,10,54407455.0,1960
async-std,bounded 1,10,50444943.0,2000
async-std,bounded 1,10,49867643.0,2040
async-std,bounded 1,10,44391220.0,2080
async-std,bounded 1,10,50459852.0,2120
async-std,bounded 1,10,56142239.0,2160
async-std,bounded 1,10,55609814.0,2200
async-std,bounded 1,10,61287644.0,2240
async-std,bounded 1,10,63637358.0,2280
async-std,bounded 1,10,61102037.0,2320
async-std,bounded 1,10,62531641.0,2360
async-std,bounded 1,10,63190864.0,2400
async-std,bounded 1,10,66298395.0,2440
async-std,bounded 1,10,64064288.0,2480
async-std,bounded 1,10,67057866.0,2520
async-std,bounded 1,10,59549282.0,2560
async-std,bounded 1,10,57106153.0,2600
async-std,bounded 1,10,64034913.0,2640
async-std,bounded 1,10,69998156.0,2680
async-std,bounded 1,10,56377710.0,2720
async-std,bounded 1,10,72432841.0,2760
async-std,bounded 1,10,71082744.0,2800
async-std,bounded 1,10,74928327.0,2840
async-std,bounded 1,10,73574966.0,2880
async-std,bounded 1,10,76688910.0,2920
async-std,bounded 1,10,63888549.0,2960
async-std,bounded 1,10,78111050.0,3000
async-std,bounded 1,10,79649989.0,3040
async-std,bounded 1,10,70220592.0,3080
async-std,bounded 1,10,82211120.0,3120
async-std,bounded 1,10,64660592.0,3160
async-std,bounded 1,10,78193174.0,3200
async-std,bounded 1,10,87117396.0,3240
async-std,bounded 1,10,75899824.0,3280
async-std,bounded 1,10,82833973.0,3320
async-std,bounded 1,10,86652737.0,3360
async-std,bounded 1,10,94891917.0,3400
async-std,bounded 1,10,95856552.0,3440
async-std,bounded 1,10,80583835.0,3480
async-std,bounded 1,10,82666241.0,3520
async-std,bounded 1,10,84076929.0,3560
async-std,bounded 1,10,85064746.0,3600
async-std,bounded 1,10,94221984.0,3640
async-std,bounded 1,10,82304133.0,3680
async-std,bounded 1,10,84902192.0,3720
async-std,bounded 1,10,104445186.0,3760
async-std,bounded 1,10,98219030.0,3800
async-std,bounded 1,10,102133601.0,3840
async-std,bounded 1,10,96548415.0,3880
async-std,bounded 1,10,87994716.0,3920
async-std,bounded 1,10,108121532.0,3960
async-std,bounded 1,10,101708147.0,4000
