group,function,value,sample_time_nanos,iteration_count
rendezvous-local,rendezvous 2,1,842133.0,27
rendezvous-local,rendezvous 2,1,2027718.0,54
rendezvous-local,rendezvous 2,1,2916950.0,81
rendezvous-local,rendezvous 2,1,4287119.0,108
rendezvous-local,rendezvous 2,1,5100217.0,135
rendezvous-local,rendezvous 2,1,5732799.0,162
rendezvous-local,rendezvous 2,1,7370117.0,189
rendezvous-local,rendezvous 2,1,8354828.0,216
rendezvous-local,rendezvous 2,1,9289674.0,243
rendezvous-local,rendezvous 2,1,10654062.0,270
rendezvous-local,rendezvous 2,1,11147995.0,297
rendezvous-local,rendezvous 2,1,12382181.0,324
rendezvous-local,rendezvous 2,1,14607948.0,351
rendezvous-local,rendezvous 2,1,14426410.0,378
rendezvous-local,rendezvous 2,1,15753548.0,405
rendezvous-local,rendezvous 2,1,17381790.0,432
rendezvous-local,rendezvous 2,1,17758434.0,459
rendezvous-local,rendezvous 2,1,17951625.0,486
rendezvous-local,rendezvous 2,1,19188215.0,513
rendezvous-local,rendezvous 2,1,21264703.0,540
rendezvous-local,rendezvous 2,1,21453075.0,567
rendezvous-local,rendezvous 2,1,23906348.0,594
rendezvous-local,rendezvous 2,1,23436501.0,621
rendezvous-local,rendezvous 2,1,24806060.0,648
rendezvous-local,rendezvous 2,1,25810866.0,675
rendezvous-local,rendezvous 2,1,25710709.0,702
rendezvous-local,rendezvous 2,1,27446061.0,729
rendezvous-local,rendezvous 2,1,30180018.0,756
rendezvous-local,rendezvous 2,1,31417861.0,783
rendezvous-local,rendezvous 2,1,29340630.0,810
rendezvous-local,rendezvous 2,1,31874594.0,837
rendezvous-local,rendezvous 2,1,32957376.0,864
rendezvous-local,rendezvous 2,1,32680409.0,891
rendezvous-local,rendezvous 2,1,35676346.0,918
rendezvous-local,rendezvous 2,1,35476242.0,945
rendezvous-local,rendezvous 2,1,36749601.0,972
rendezvous-local,rendezvous 2,1,38676609.0,999
rendezvous-local,rendezvous 2,1,38601269.0,1026
rendezvous-local,rendezvous 2,1,40592870.0,1053
rendezvous-local,rendezvous 2,1,40910963.0,1080
rendezvous-local,rendezvous 2,1,41703585.0,1107
rendezvous-local,rendezvous 2,1,43744888.0,1134
rendezvous-local,rendezvous 2,1,44076158.0,1161
rendezvous-local,rendezvous 2,1,43937928.0,1188
rendezvous-local,rendezvous 2,1,46118803.0,1215
rendezvous-local,rendezvous 2,1,46714085.0,1242
rendezvous-local,rendezvous 2,1,46662809.0,1269
rendezvous-local,rendezvous 2,1,50058553.0,1296
rendezvous-local,rendezvous 2,1,50459882.0,1323
rendezvous-local,rendezvous 2,1,50928728.0,1350
rendezvous-local,rendezvous 2,1,53680137.0,1377
rendezvous-local,rendezvous 2,1,53127145.0,1404
rendezvous-local,rendezvous 2,1,55020282.0,1431
rendezvous-local,rendezvous 2,1,57033221.0,1458
rendezvous-local,rendezvous 2,1,56082055.0,1485
rendezvous-local,rendezvous 2,1,57515001.0,1512
rendezvous-local,rendezvous 2,1,58564813.0,1539
rendezvous-local,rendezvous 2,1,57781059.0,1566
rendezvous-local,rendezvous 2,1,60434986.0,1593
rendezvous-local,rendezvous 2,1,63255435.0,1620
rendezvous-local,rendezvous 2,1,62106188.0,1647
rendezvous-local,rendezvous 2,1,64353727.0,1674
rendezvous-local,rendezvous 2,1,66715338.0,1701
rendezvous-local,rendezvous 2,1,67356375.0,1728
rendezvous-local,rendezvous 2,1,68225740.0,1755
rendezvous-local,rendezvous 2,1,67740604.0,1782
rendezvous-local,rendezvous 2,1,70220747.0,1809
rendezvous-local,rendezvous 2,1,69608884.0,1836
rendezvous-local,rendezvous 2,1,70286378.0,1863
rendezvous-local,rendezvous 2,1,73014836.0,1890
rendezvous-local,rendezvous 2,1,72718663.0,1917
rendezvous-local,rendezvous 2,1,75666209.0,1944
rendezvous-local,rendezvous 2,1,73194682.0,1971
rendezvous-local,rendezvous 2,1,77533927.0,1998
rendezvous-local,rendezvous 2,1,76006085.0,2025
rendezvous-local,rendezvous 2,1,79193828.0,2052
rendezvous-local,rendezvous 2,1,79119119.0,2079
rendezvous-local,rendezvous 2,1,79335083.0,2106
rendezvous-local,rendezvous 2,1,81607088.0,2133
rendezvous-local,rendezvous 2,1,83900270.0,2160
rendezvous-local,rendezvous 2,1,84420553.0,2187
rendezvous-local,rendezvous 2,1,85933289.0,2214
rendezvous-local,rendezvous 2,1,86413746.0,2241
rendezvous-local,rendezvous 2,1,85342014.0,2268
rendezvous-local,rendezvous 2,1,86836235.0,2295
rendezvous-local,rendezvous 2,1,88388696.0,2322
rendezvous-local,rendezvous 2,1,90199598.0,2349
rendezvous-local,rendezvous 2,1,87721329.0,2376
rendezvous-local,rendezvous 2,1,91374683.0,2403
rendezvous-local,rendezvous 2,1,94320326.0,2430
rendezvous-local,rendezvous 2,1,91438332.0,2457
rendezvous-local,rendezvous 2,1,94501975.0,2484
rendezvous-local,rendezvous 2,1,93911883.0,2511
rendezvous-local,rendezvous 2,1,96367641.0,2538
rendezvous-local,rendezvous 2,1,99904637.0,2565
rendezvous-local,rendezvous 2,1,97320400.0,2592
rendezvous-local,rendezvous 2,1,102489336.0,2619
rendezvous-local,rendezvous 2,1,101941964.0,2646
rendezvous-local,rendezvous 2,1,103364852.0,2673
rendezvous-local,rendezvous 2,1,102774450.0,2700
